"year","region","n","mean","sd","lower","upper"
2019,"South & West Asia",8,5.52001191256182,0.294232290213297,4.96664311544986,6.12223410582895
2020,"South & West Asia",8,5.54510412404394,0.291576784798179,4.97501213597784,6.13671699043679
2021,"South & West Asia",8,5.67601091831501,0.290695920352875,5.11877671312729,6.2521385940361
2022,"South & West Asia",8,5.66612411866443,0.282682107148024,5.14286815497314,6.24305203279883
2023,"South & West Asia",8,5.71085252223902,0.281162606063054,5.1681103654399,6.28621552772961
2019,"Europe",12,2.0034804537784,0.17591147847577,1.68545842910904,2.35133293079659
2020,"Europe",12,1.51715772706519,0.0843372686467559,1.35344198003847,1.6821295129608
2021,"Europe",12,1.64222363283835,0.0923963081859508,1.47655337867295,1.84914104456455
2022,"Europe",12,1.75311883319789,0.0959335803210425,1.56973838307793,1.94432781371698
2023,"Europe",12,1.6627169396484,0.0859056022701018,1.50408637668625,1.84573037001566
2019,"Central East Asia",7,3.80785422410858,0.229778820601421,3.36351186183126,4.28295157231734
2020,"Central East Asia",7,4.1901724434919,0.276842473790019,3.68995717245774,4.74303102952267
2021,"Central East Asia",7,3.93309537542216,0.225249628671099,3.49986786208103,4.39478089554273
2022,"Central East Asia",7,4.0467968629001,0.249604364970271,3.57686928110566,4.54026622165667
2023,"Central East Asia",7,4.50080072905733,0.277236428622158,3.93482737356741,5.04535851480024
2019,"East, Southeast Asia & Oceania",6,2.8600144829698,0.187593530179049,2.50083244711797,3.22012025232336
2020,"East, Southeast Asia & Oceania",6,2.75024078446584,0.207094745951347,2.35217345617617,3.15352754685913
2021,"East, Southeast Asia & Oceania",6,3.18851048568231,0.204575368980761,2.79933908559321,3.60385531402775
2022,"East, Southeast Asia & Oceania",6,3.22467888739404,0.208912145941582,2.81978940545331,3.65063458934542
2023,"East, Southeast Asia & Oceania",6,3.2559406823479,0.209291292474083,2.85224316477612,3.63865349796721
2019,"North America",11,2.34335569834365,0.133098851142655,2.09046550160057,2.61373375263128
2020,"North America",11,2.10540727005323,0.115636726870895,1.89194105960971,2.33634878009516
2021,"North America",11,2.22208636508964,0.117426092628764,2.01313739316715,2.47412111141613
2022,"North America",11,2.48514759931931,0.133947754144587,2.232934987708,2.77061174450184
2023,"North America",11,2.49099766193264,0.115391357194433,2.28028821603734,2.72366486807387
2019,"Latin America",5,1.18879321986128,0.0915076198584837,1.011309346844,1.36112516947195
2020,"Latin America",5,1.11996780033604,0.0843042789256412,0.957226727932546,1.2850456372082
2021,"Latin America",5,1.15585072632515,0.0877382895512062,0.988645881284178,1.33439786582204
2022,"Latin America",5,1.20021866089439,0.0933367738454285,1.02362378793743,1.39308872683125
2023,"Latin America",5,1.20905016727474,0.0864968792147695,1.04637478154813,1.38349342514608
2019,"Africa",2,0.787095232939449,0.0783029499139185,0.635371913626863,0.949137931527533
2020,"Africa",2,0.8193926913144,0.0828678542856232,0.656656098226936,0.981051017717206
2021,"Africa",2,0.83115428256109,0.085203380863394,0.665739886284353,0.998089886949092
2022,"Africa",2,0.843332748653536,0.0850162250148221,0.683123260158289,1.01462274020583
2023,"Africa",2,0.930663966210798,0.0928143563930201,0.757418755702772,1.12742690119836
